Time,Internet traffic data (in bits) from a private ISP with centres in 11 European cities. The data corresponds to a transatlantic link and was collected from 06:57 hours on 7 June to 11:17 hours on 31 July 2005. Data collected at five minute intervals.
6/7/2005 19:00,3967867664
6/7/2005 19:05,3768411435
6/7/2005 19:10,3524927741
6/7/2005 19:15,3533644824
6/7/2005 19:20,3611084551
6/7/2005 19:25,3718716907
6/7/2005 19:30,3622619626
6/7/2005 19:35,3649115438
6/7/2005 19:40,3824052475
6/7/2005 19:45,3802783518
6/7/2005 19:50,3724816224
6/7/2005 19:55,3658838363
6/7/2005 20:00,3634119585
6/7/2005 20:05,3625261928
6/7/2005 20:10,3670661268
6/7/2005 20:15,3569002593
6/7/2005 20:20,3704103060
6/7/2005 20:25,3600959582
6/7/2005 20:30,3540508801
6/7/2005 20:35,3530136362
6/7/2005 20:40,3586244712
6/7/2005 20:45,3580008115
6/7/2005 20:50,3518283866
6/7/2005 20:55,3490909198
6/7/2005 21:00,3273634716
6/7/2005 21:05,3220012819
6/7/2005 21:10,3268927551
6/7/2005 21:15,3165384774
6/7/2005 21:20,3201339313
6/7/2005 21:25,3168450654
6/7/2005 21:30,3036703512
6/7/2005 21:35,2999785689
6/7/2005 21:40,2931969530
6/7/2005 21:45,3063506195
6/7/2005 21:50,2874825851
6/7/2005 21:55,2756967891
6/7/2005 22:00,2746056942
6/7/2005 22:05,2710922432
6/7/2005 22:10,2687775945
6/7/2005 22:15,2750878241
6/7/2005 22:20,2654607198
6/7/2005 22:25,2649790823
6/7/2005 22:30,2561522102
6/7/2005 22:35,2622232533
6/7/2005 22:40,2569332246
6/7/2005 22:45,2900771417
6/7/2005 22:50,2362620888
6/7/2005 22:55,2338511945
6/7/2005 23:00,2346308954
6/7/2005 23:05,2485275798
6/7/2005 23:10,2383711038
6/7/2005 23:15,2352537359
6/7/2005 23:20,2438498778
6/7/2005 23:25,2387348189
6/7/2005 23:30,2136407019
6/7/2005 23:35,2105109648
6/7/2005 23:40,2108515945
6/7/2005 23:45,2361817024
6/7/2005 23:50,2145379850
6/7/2005 23:55,2216433223
6/8/2005 0:00,2205983887
6/8/2005 0:05,2125875017
6/8/2005 0:10,2386775906
6/8/2005 0:15,2242831948
6/8/2005 0:20,2154930604
6/8/2005 0:25,2106550611
6/8/2005 0:30,2048932841
6/8/2005 0:35,2072852739
6/8/2005 0:40,2146743453
6/8/2005 0:45,1898012332
6/8/2005 0:50,1805834137
6/8/2005 0:55,1846509090
6/8/2005 1:00,1819926546
6/8/2005 1:05,1734400487
6/8/2005 1:10,1785433036
6/8/2005 1:15,1733610241
6/8/2005 1:20,1694384060
6/8/2005 1:25,1701288588
6/8/2005 1:30,1722159905
6/8/2005 1:35,1706410228
6/8/2005 1:40,2015585016
6/8/2005 1:45,1795574327
6/8/2005 1:50,1780259206
6/8/2005 1:55,1671931744
6/8/2005 2:00,1679005182
6/8/2005 2:05,1668891063
6/8/2005 2:10,1728025343
6/8/2005 2:15,1723179180
6/8/2005 2:20,1637898222
6/8/2005 2:25,1595363849
6/8/2005 2:30,1617476695
6/8/2005 2:35,1629195853
6/8/2005 2:40,1845312155
6/8/2005 2:45,1649332044
6/8/2005 2:50,1547267504
6/8/2005 2:55,1499411740
6/8/2005 3:00,1459317981
6/8/2005 3:05,1447949146
6/8/2005 3:10,1599031982
6/8/2005 3:15,1555389960
6/8/2005 3:20,1726665812
6/8/2005 3:25,1560596693
6/8/2005 3:30,1487551813
6/8/2005 3:35,1506835860
6/8/2005 3:40,1814598605
6/8/2005 3:45,1675097503
6/8/2005 3:50,1649725627
6/8/2005 3:55,1605411867
6/8/2005 4:00,1631462039
6/8/2005 4:05,1794111915
6/8/2005 4:10,2064644330
6/8/2005 4:15,1805560623
6/8/2005 4:20,1639043272
6/8/2005 4:25,1675169871
6/8/2005 4:30,1786003377
6/8/2005 4:35,2313753829
6/8/2005 4:40,2733271598
6/8/2005 4:45,1999096513
6/8/2005 4:50,1911255872
6/8/2005 4:55,1850724767
6/8/2005 5:00,1844343109
6/8/2005 5:05,1891900880
6/8/2005 5:10,2071743151
6/8/2005 5:15,1917291872
6/8/2005 5:20,1920241635
6/8/2005 5:25,2028928664
6/8/2005 5:30,2192637441
6/8/2005 5:35,2553091807
6/8/2005 5:40,2554968485
6/8/2005 5:45,2391627246
6/8/2005 5:50,2455430601
6/8/2005 5:55,2468010209
6/8/2005 6:00,2650808208
6/8/2005 6:05,2781247406
6/8/2005 6:10,2848338243
6/8/2005 6:15,2931929285
6/8/2005 6:20,2971844719
6/8/2005 6:25,3189909175
6/8/2005 6:30,3452214549
6/8/2005 6:35,4205761408
6/8/2005 6:40,4264799773
6/8/2005 6:45,4151264837
6/8/2005 6:50,4393686561
6/8/2005 6:55,4538893522
6/8/2005 7:00,5190675656
6/8/2005 7:05,5126512975
6/8/2005 7:10,5256135289
6/8/2005 7:15,5824779869
6/8/2005 7:20,5994016503
6/8/2005 7:25,5965360317
6/8/2005 7:30,5983511218
6/8/2005 7:35,6134091420
6/8/2005 7:40,6362714553
6/8/2005 7:45,6150369804
6/8/2005 7:50,6082786407
6/8/2005 7:55,5991742496
6/8/2005 8:00,6275467515
6/8/2005 8:05,6171775001
6/8/2005 8:10,6526366537
6/8/2005 8:15,6607149977
6/8/2005 8:20,6613251438
6/8/2005 8:25,6569377983
6/8/2005 8:30,6742079953
6/8/2005 8:35,6753617676
6/8/2005 8:40,6857491362
6/8/2005 8:45,7074260798
6/8/2005 8:50,7111874181
6/8/2005 8:55,7243067552
6/8/2005 9:00,7318159907
6/8/2005 9:05,7208833387
6/8/2005 9:10,7495291518
6/8/2005 9:15,7547757614
6/8/2005 9:20,7970479854
6/8/2005 9:25,7787826609
6/8/2005 9:30,7685712107
6/8/2005 9:35,7690375153
6/8/2005 9:40,8188490789
6/8/2005 9:45,7934295948
6/8/2005 9:50,7870868471
6/8/2005 9:55,8146204160
6/8/2005 10:00,8180532426
6/8/2005 10:05,8372604274
6/8/2005 10:10,8466407495
6/8/2005 10:15,8437633882
6/8/2005 10:20,8367609771
6/8/2005 10:25,8203291962
6/8/2005 10:30,8024370575
6/8/2005 10:35,7777108659
6/8/2005 10:40,7754400462
6/8/2005 10:45,7609499824
6/8/2005 10:50,7832003980
6/8/2005 10:55,7855501869
6/8/2005 11:00,7845745786
6/8/2005 11:05,7670633728
6/8/2005 11:10,7556111152
6/8/2005 11:15,7418082652
6/8/2005 11:20,7529169350
6/8/2005 11:25,7896096694
6/8/2005 11:30,7493063224
6/8/2005 11:35,7449015187
6/8/2005 11:40,7383112398
6/8/2005 11:45,7639506802
6/8/2005 11:50,7449686171
6/8/2005 11:55,7602704562
6/8/2005 12:00,7790183518
6/8/2005 12:05,7684660405
6/8/2005 12:10,7600043660
6/8/2005 12:15,7575510870
6/8/2005 12:20,7500447045
6/8/2005 12:25,7623791363
6/8/2005 12:30,7587174475
6/8/2005 12:35,7207576949
6/8/2005 12:40,7691529617
6/8/2005 12:45,7572858911
6/8/2005 12:50,7817424702
6/8/2005 12:55,7639932858
6/8/2005 13:00,7404997195
6/8/2005 13:05,7579326777
6/8/2005 13:10,7636943486
6/8/2005 13:15,7683013173
6/8/2005 13:20,7662021559
6/8/2005 13:25,7877819255
6/8/2005 13:30,7572278263
6/8/2005 13:35,7747598426
6/8/2005 13:40,7788986639
6/8/2005 13:45,7690840293
6/8/2005 13:50,7549023428
6/8/2005 13:55,7520812984
6/8/2005 14:00,7749529516
6/8/2005 14:05,7671190377
6/8/2005 14:10,8125526554
6/8/2005 14:15,8285170772
6/8/2005 14:20,7666445199
6/8/2005 14:25,7484127610
6/8/2005 14:30,7300435170
6/8/2005 14:35,7357803235
6/8/2005 14:40,7357498560
6/8/2005 14:45,7203877884
6/8/2005 14:50,7629384537
6/8/2005 14:55,7128477846
6/8/2005 15:00,7200871550
6/8/2005 15:05,7176632112
6/8/2005 15:10,7069828630
6/8/2005 15:15,6939455449
6/8/2005 15:20,6722450182
6/8/2005 15:25,6559682171
6/8/2005 15:30,6394253104
6/8/2005 15:35,6390636537
6/8/2005 15:40,6324194334
6/8/2005 15:45,6209441159
6/8/2005 15:50,6165689489
6/8/2005 15:55,6232807345
6/8/2005 16:00,6228571345
6/8/2005 16:05,5908982224
6/8/2005 16:10,5604577808
6/8/2005 16:15,5527512983
6/8/2005 16:20,5370258769
6/8/2005 16:25,5360599676
6/8/2005 16:30,4964354033
6/8/2005 16:35,4942059195
6/8/2005 16:40,4703084989
6/8/2005 16:45,4681041519
6/8/2005 16:50,4754158520
6/8/2005 16:55,4444403403
6/8/2005 17:00,4718370181
6/8/2005 17:05,5591422795
6/8/2005 17:10,4922184189
6/8/2005 17:15,4917079925
6/8/2005 17:20,4787678838
6/8/2005 17:25,4743487069
6/8/2005 17:30,4705083312
6/8/2005 17:35,4636802817
6/8/2005 17:40,4536986293
6/8/2005 17:45,4214285916
6/8/2005 17:50,4225415420
6/8/2005 17:55,4244448010
6/8/2005 18:00,4247183335
6/8/2005 18:05,4183373806
6/8/2005 18:10,4225952893
6/8/2005 18:15,4136457874
6/8/2005 18:20,4025435880
6/8/2005 18:25,4174980000
6/8/2005 18:30,4157140866
6/8/2005 18:35,4147069090
6/8/2005 18:40,4192792799
6/8/2005 18:45,4171368781
6/8/2005 18:50,4373040021
6/8/2005 18:55,4005724049
6/8/2005 19:00,4086620948
6/8/2005 19:05,3991067510
6/8/2005 19:10,3861483709
6/8/2005 19:15,3866816123
6/8/2005 19:20,3955457030
6/8/2005 19:25,4057432509
6/8/2005 19:30,4053167494
6/8/2005 19:35,3971833521
6/8/2005 19:40,3925243304
6/8/2005 19:45,3727992069
6/8/2005 19:50,3734428520
6/8/2005 19:55,3643339896
6/8/2005 20:00,3638246092
6/8/2005 20:05,3575434403
6/8/2005 20:10,3537605460
6/8/2005 20:15,3537359280
6/8/2005 20:20,3433757600
6/8/2005 20:25,3365056676
6/8/2005 20:30,3373005665
6/8/2005 20:35,3495622440
6/8/2005 20:40,3248974030
6/8/2005 20:45,3386610556
6/8/2005 20:50,3363591768
6/8/2005 20:55,3180512505
6/8/2005 21:00,3389436344
6/8/2005 21:05,3111481798
6/8/2005 21:10,2959890949
6/8/2005 21:15,2813817089
6/8/2005 21:20,2800939104
6/8/2005 21:25,2758415402
6/8/2005 21:30,2915608301
6/8/2005 21:35,2645295932
6/8/2005 21:40,2490175957
6/8/2005 21:45,2467613696
6/8/2005 21:50,2538000213
6/8/2005 21:55,2611889662
6/8/2005 22:00,2927761178
6/8/2005 22:05,2542556943
6/8/2005 22:10,2420688595
6/8/2005 22:15,2360250385
6/8/2005 22:20,2298892642
6/8/2005 22:25,2245640429
6/8/2005 22:30,2304685634
6/8/2005 22:35,2234252324
6/8/2005 22:40,2171028659
6/8/2005 22:45,2184796539
6/8/2005 22:50,2144066676
6/8/2005 22:55,2278448980
6/8/2005 23:00,2377244340
6/8/2005 23:05,2146292416
6/8/2005 23:10,2131630175
6/8/2005 23:15,2066553106
6/8/2005 23:20,2266775853
6/8/2005 23:25,2364478901
6/8/2005 23:30,2299417518
6/8/2005 23:35,2121105382
6/8/2005 23:40,1744896078
6/8/2005 23:45,1758885629
6/8/2005 23:50,1743515468
6/8/2005 23:55,1917418102
6/9/2005 0:00,1890448217
6/9/2005 0:05,1852903460
6/9/2005 0:10,1858948247
6/9/2005 0:15,1822512261
6/9/2005 0:20,1818155264
6/9/2005 0:25,1906051079
6/9/2005 0:30,1933967169
6/9/2005 0:35,1793654074
6/9/2005 0:40,1686083864
6/9/2005 0:45,1712380806
6/9/2005 0:50,1749792821
6/9/2005 0:55,1868820670
6/9/2005 1:00,1699904914
6/9/2005 1:05,1721010483
6/9/2005 1:10,1717039917
6/9/2005 1:15,1742508931
6/9/2005 1:20,1663583725
6/9/2005 1:25,1776916253
6/9/2005 1:30,1723292151
6/9/2005 1:35,1660695089
6/9/2005 1:40,1596729108
6/9/2005 1:45,1622199038
6/9/2005 1:50,1656534450
6/9/2005 1:55,1764029559
6/9/2005 2:00,1673219248
6/9/2005 2:05,1634364630
6/9/2005 2:10,1676337091
6/9/2005 2:15,1568064114
6/9/2005 2:20,1598472851
6/9/2005 2:25,1749662673
6/9/2005 2:30,1651504479
6/9/2005 2:35,1600304377
6/9/2005 2:40,1600993806
6/9/2005 2:45,1598880695
6/9/2005 2:50,1587895043
6/9/2005 2:55,1818223800
6/9/2005 3:00,1650463219
6/9/2005 3:05,1617521611
6/9/2005 3:10,1700692639
6/9/2005 3:15,1631253009
6/9/2005 3:20,1664407701
6/9/2005 3:25,1751947662
6/9/2005 3:30,1554958310
6/9/2005 3:35,1491359710
6/9/2005 3:40,1514417490
6/9/2005 3:45,1563769407
6/9/2005 3:50,1583983976
6/9/2005 3:55,1863897883
6/9/2005 4:00,1545357020
6/9/2005 4:05,1560212860
6/9/2005 4:10,1546619707
6/9/2005 4:15,1588784465
6/9/2005 4:20,1699029301
6/9/2005 4:25,1720281611
6/9/2005 4:30,1863255414
6/9/2005 4:35,1750905936
6/9/2005 4:40,1828337839
6/9/2005 4:45,1843654270
6/9/2005 4:50,2105475588
6/9/2005 4:55,2298814437
6/9/2005 5:00,2297052248
6/9/2005 5:05,2437482401
6/9/2005 5:10,2432133664
6/9/2005 5:15,2526642799
6/9/2005 5:20,2682154847
6/9/2005 5:25,2793653719
6/9/2005 5:30,2882858302
6/9/2005 5:35,2912165435
6/9/2005 5:40,3082359242
6/9/2005 5:45,3286118692
6/9/2005 5:50,3654751136
6/9/2005 5:55,3978073153
6/9/2005 6:00,4087884056
6/9/2005 6:05,4066668149
6/9/2005 6:10,4126857073
6/9/2005 6:15,4295606794
6/9/2005 6:20,4553782306
6/9/2005 6:25,4668600234
6/9/2005 6:30,4973181105
6/9/2005 6:35,5042776380
6/9/2005 6:40,5133563502
6/9/2005 6:45,5467915938
6/9/2005 6:50,5939877993
6/9/2005 6:55,6040643374
6/9/2005 7:00,6290777264
6/9/2005 7:05,6662998468
6/9/2005 7:10,6690785097
6/9/2005 7:15,6484899992
6/9/2005 7:20,6359260404
6/9/2005 7:25,6800682733
6/9/2005 7:30,6668964347
6/9/2005 7:35,6295949739
6/9/2005 7:40,6396470869
6/9/2005 7:45,6613455435
6/9/2005 7:50,6923345832
6/9/2005 7:55,7010634562
6/9/2005 8:00,7289890016
6/9/2005 8:05,7292598839
6/9/2005 8:10,7049853827
6/9/2005 8:15,6942064453
6/9/2005 8:20,7114536725
6/9/2005 8:25,7168661770
6/9/2005 8:30,7475271812
6/9/2005 8:35,7809258402
6/9/2005 8:40,8077040173
6/9/2005 8:45,7559866526
6/9/2005 8:50,8204726796
6/9/2005 8:55,7742964739
6/9/2005 9:00,7655016212
6/9/2005 9:05,7721560199
6/9/2005 9:10,7569752171
6/9/2005 9:15,7486061420
6/9/2005 9:20,7731718983
6/9/2005 9:25,7797893310
6/9/2005 9:30,8092031093
6/9/2005 9:35,7542853380
6/9/2005 9:40,7775382152
6/9/2005 9:45,7985865290
6/9/2005 9:50,7722894743
6/9/2005 9:55,7620929519
6/9/2005 10:00,7501360862
6/9/2005 10:05,7531371006
6/9/2005 10:10,7559096005
6/9/2005 10:15,7550974521
6/9/2005 10:20,7580135100
6/9/2005 10:25,7497737248
6/9/2005 10:30,7646384391
6/9/2005 10:35,7468617607
6/9/2005 10:40,7456203469
6/9/2005 10:45,7211641199
6/9/2005 10:50,7445776939
6/9/2005 10:55,7492246402
6/9/2005 11:00,7635368681
6/9/2005 11:05,7668134758
6/9/2005 11:10,7377808295
6/9/2005 11:15,7683355485
6/9/2005 11:20,7647400803
6/9/2005 11:25,7810639888
6/9/2005 11:30,8084807178
6/9/2005 11:35,7667984719
6/9/2005 11:40,7735982597
6/9/2005 11:45,7953187449
6/9/2005 11:50,7952268730
6/9/2005 11:55,8008333668
6/9/2005 12:00,7800862393
6/9/2005 12:05,7544434295
6/9/2005 12:10,7624791238
6/9/2005 12:15,8031205787
6/9/2005 12:20,7791920641
6/9/2005 12:25,7864202093
6/9/2005 12:30,8068153168
6/9/2005 12:35,7941672624
6/9/2005 12:40,7967325546
6/9/2005 12:45,7867328461
6/9/2005 12:50,7749248801
6/9/2005 12:55,7589374258
6/9/2005 13:00,7537728461
6/9/2005 13:05,7591861190
6/9/2005 13:10,7501747021
6/9/2005 13:15,7566653228
6/9/2005 13:20,8203073497
6/9/2005 13:25,8246435919
6/9/2005 13:30,7699808033
6/9/2005 13:35,7757099184
6/9/2005 13:40,7432858208
6/9/2005 13:45,7587964602
6/9/2005 13:50,7272188505
6/9/2005 13:55,7368035894
6/9/2005 14:00,7455111824
6/9/2005 14:05,7586867484
6/9/2005 14:10,7322819098
6/9/2005 14:15,7318029134
6/9/2005 14:20,7496737232
6/9/2005 14:25,7119415647
6/9/2005 14:30,6720709835
6/9/2005 14:35,6773261059
6/9/2005 14:40,6865925170
6/9/2005 14:45,6693310318
6/9/2005 14:50,6757318460
6/9/2005 14:55,6887336019
6/9/2005 15:00,6737556230
6/9/2005 15:05,6388483998
6/9/2005 15:10,6437598660
6/9/2005 15:15,6006086789
6/9/2005 15:20,5909718283
6/9/2005 15:25,6037169130
6/9/2005 15:30,5949643442
6/9/2005 15:35,5800742834
6/9/2005 15:40,5744799048
6/9/2005 15:45,5381926855
6/9/2005 15:50,5272957332
6/9/2005 15:55,5112487816
6/9/2005 16:00,4963472742
6/9/2005 16:05,4916077788
6/9/2005 16:10,4752640394
6/9/2005 16:15,4679822700
6/9/2005 16:20,4690364546
6/9/2005 16:25,4504472736
6/9/2005 16:30,4463297564
6/9/2005 16:35,4243095675
6/9/2005 16:40,4188612905
6/9/2005 16:45,4029939999
6/9/2005 16:50,4054977374
6/9/2005 16:55,4039312896
6/9/2005 17:00,4034823633
6/9/2005 17:05,4008471778
6/9/2005 17:10,4032822880
6/9/2005 17:15,3938855788
6/9/2005 17:20,3776919871
6/9/2005 17:25,3763946693
6/9/2005 17:30,3765778589
6/9/2005 17:35,3873340327
6/9/2005 17:40,4058003893
6/9/2005 17:45,3942012272
6/9/2005 17:50,3849625167
6/9/2005 17:55,3740328887
6/9/2005 18:00,3647479050
6/9/2005 18:05,3728142949
6/9/2005 18:10,3852710331
6/9/2005 18:15,3817851434
6/9/2005 18:20,3786495491
6/9/2005 18:25,3685195583
6/9/2005 18:30,3676161836
6/9/2005 18:35,3630622059
6/9/2005 18:40,3756282418
6/9/2005 18:45,3717205580
6/9/2005 18:50,3718276249
6/9/2005 18:55,3799442848
6/9/2005 19:00,3750967910
6/9/2005 19:05,3752327018
6/9/2005 19:10,3950267674
6/9/2005 19:15,3821287492
6/9/2005 19:20,3671631458
6/9/2005 19:25,3706024300
6/9/2005 19:30,3636733565
6/9/2005 19:35,3545718014
6/9/2005 19:40,3470918602
6/9/2005 19:45,3324209315
6/9/2005 19:50,3291026551
6/9/2005 19:55,3506129655
6/9/2005 20:00,3291109055
6/9/2005 20:05,3159208417
6/9/2005 20:10,3183847876
6/9/2005 20:15,3167892998
6/9/2005 20:20,3035478579
6/9/2005 20:25,2942173330
6/9/2005 20:30,2932042200
6/9/2005 20:35,3037909498
6/9/2005 20:40,2945016732
6/9/2005 20:45,2784011418
6/9/2005 20:50,2777695763
6/9/2005 20:55,2739425706
6/9/2005 21:00,2694480889
6/9/2005 21:05,2684085702
6/9/2005 21:10,2648325426
6/9/2005 21:15,2515918346
6/9/2005 21:20,2450486568
6/9/2005 21:25,2420085884
6/9/2005 21:30,2314834887
6/9/2005 21:35,2369855446
6/9/2005 21:40,2417483269
6/9/2005 21:45,2292948294
6/9/2005 21:50,2360489831
6/9/2005 21:55,2348839068
6/9/2005 22:00,2221341385
6/9/2005 22:05,2396865550
6/9/2005 22:10,2277901064
6/9/2005 22:15,2211760997
6/9/2005 22:20,2210036224
6/9/2005 22:25,2135376854
6/9/2005 22:30,2049753417
6/9/2005 22:35,2134895089
6/9/2005 22:40,2089640771
6/9/2005 22:45,2039465065
6/9/2005 22:50,2064332465
6/9/2005 22:55,2141546361
6/9/2005 23:00,2024180305
6/9/2005 23:05,2258184548
6/9/2005 23:10,2066019711
6/9/2005 23:15,1984647199
6/9/2005 23:20,1875430657
6/9/2005 23:25,1888966277
6/9/2005 23:30,1698981794
6/9/2005 23:35,1728249800
6/9/2005 23:40,1719818201
6/9/2005 23:45,1662123497
6/9/2005 23:50,1596112907
6/9/2005 23:55,1573939489
6/10/2005 0:00,1585779260
6/10/2005 0:05,1667158252
6/10/2005 0:10,1600545386
6/10/2005 0:15,1633389278
6/10/2005 0:20,1519015268
6/10/2005 0:25,1516544255
6/10/2005 0:30,1538308852
6/10/2005 0:35,1564089352
6/10/2005 0:40,1511338890
6/10/2005 0:45,1500214496
6/10/2005 0:50,1524172265
6/10/2005 0:55,1451856657
6/10/2005 1:00,1509432085
6/10/2005 1:05,1568998166
6/10/2005 1:10,1473464285
6/10/2005 1:15,1408884993
6/10/2005 1:20,1413759621
6/10/2005 1:25,1465706483
6/10/2005 1:30,1534503667
6/10/2005 1:35,1474414422
6/10/2005 1:40,1444492904
6/10/2005 1:45,1460098374
6/10/2005 1:50,1437797339
6/10/2005 1:55,1387377136
6/10/2005 2:00,1565341611
6/10/2005 2:05,1559867379
6/10/2005 2:10,1457573981
6/10/2005 2:15,1439068144
6/10/2005 2:20,1444173686
6/10/2005 2:25,1340526034
6/10/2005 2:30,1415753616
6/10/2005 2:35,1440993126
6/10/2005 2:40,1500866433
6/10/2005 2:45,1462627758
6/10/2005 2:50,1644107495
6/10/2005 2:55,1619710110
6/10/2005 3:00,1736152039
6/10/2005 3:05,1538425170
6/10/2005 3:10,1395771340
6/10/2005 3:15,1423090023
6/10/2005 3:20,1547389853
6/10/2005 3:25,1757204268
6/10/2005 3:30,2374902715
6/10/2005 3:35,1701330427
6/10/2005 3:40,1579570033
6/10/2005 3:45,1742051244
6/10/2005 3:50,1524802256
6/10/2005 3:55,1594253462
6/10/2005 4:00,1749961268
6/10/2005 4:05,1729493531
6/10/2005 4:10,1717110768
6/10/2005 4:15,1838180235
6/10/2005 4:20,1882169226
6/10/2005 4:25,1960127188
6/10/2005 4:30,2097228089
6/10/2005 4:35,2132709445
6/10/2005 4:40,2254135403
6/10/2005 4:45,2332560122
6/10/2005 4:50,2321539896
6/10/2005 4:55,2526130966
6/10/2005 5:00,2593818620
6/10/2005 5:05,2752978853
6/10/2005 5:10,2814194680
6/10/2005 5:15,2992343081
6/10/2005 5:20,3173666982
6/10/2005 5:25,3341180231
6/10/2005 5:30,3407394513
6/10/2005 5:35,3670214482
6/10/2005 5:40,3935777330
6/10/2005 5:45,4241264882
6/10/2005 5:50,4333930459
6/10/2005 5:55,4490095761
6/10/2005 6:00,4882612395
6/10/2005 6:05,5123716777
6/10/2005 6:10,5298930152
6/10/2005 6:15,5357782878
6/10/2005 6:20,5505045389
6/10/2005 6:25,5888312971
6/10/2005 6:30,5892555784
6/10/2005 6:35,5820443013
6/10/2005 6:40,6215335985
6/10/2005 6:45,6274121273
6/10/2005 6:50,6312382164
